interaction_id,user_id,opportunity_id,interaction_type,interaction_weight,interacted_at
1,100,15,view,1,2025-12-28 19:08:54.340790
2,100,4,view,1,2025-12-26 19:08:54.340804
3,100,36,view,1,2025-12-22 19:08:54.340809
4,100,32,view,1,2025-12-21 19:08:54.340811
5,100,29,view,1,2025-12-12 19:08:54.340814
6,100,18,view,1,2025-12-09 19:08:54.340816
7,100,14,view,1,2025-12-28 19:08:54.340818
8,100,12,view,1,2025-12-11 19:08:54.340820
9,100,55,view,1,2025-12-22 19:08:54.340823
10,100,5,view,1,2025-12-06 19:08:54.340825
11,100,55,save,3,2025-12-10 19:08:54.340833
12,100,14,save,3,2025-12-20 19:08:54.340836
13,100,32,save,3,2025-12-03 19:08:54.340839
14,100,12,save,3,2025-12-01 19:08:54.340841
15,100,36,apply,5,2025-12-06 19:08:54.340846
16,101,44,view,1,2025-12-25 19:08:54.340886
17,101,36,view,1,2025-12-17 19:08:54.340891
18,101,20,view,1,2025-12-01 19:08:54.340894
19,101,28,view,1,2025-12-17 19:08:54.340897
20,101,75,view,1,2025-12-09 19:08:54.340900
21,101,14,view,1,2025-12-20 19:08:54.340903
22,101,12,view,1,2025-12-03 19:08:54.340906
23,101,49,view,1,2025-12-27 19:08:54.340909
24,101,49,save,3,2025-12-26 19:08:54.340920
25,101,75,save,3,2025-12-11 19:08:54.340923
26,101,44,save,3,2025-12-19 19:08:54.340927
27,101,28,save,3,2025-12-02 19:08:54.340930
28,101,28,apply,5,2025-12-26 19:08:54.340940
29,101,14,apply,5,2025-12-27 19:08:54.340944
30,102,30,view,1,2025-12-17 19:08:54.340970
31,102,38,view,1,2025-12-17 19:08:54.340972
32,102,11,view,1,2025-12-22 19:08:54.340974
33,102,75,view,1,2025-12-07 19:08:54.340976
34,102,13,view,1,2025-12-20 19:08:54.340978
35,102,49,view,1,2025-12-06 19:08:54.340980
36,102,36,view,1,2025-11-29 19:08:54.340981
37,102,59,view,1,2025-12-07 19:08:54.340983
38,102,47,view,1,2025-12-08 19:08:54.340985
39,102,21,view,1,2025-12-26 19:08:54.340988
40,102,11,save,3,2025-12-14 19:08:54.340993
41,102,47,save,3,2025-12-16 19:08:54.340995
42,102,75,save,3,2025-12-20 19:08:54.340997
43,102,38,save,3,2025-11-29 19:08:54.340999
44,102,49,apply,5,2025-12-02 19:08:54.341003
45,103,30,view,1,2025-12-26 19:08:54.341024
46,103,5,view,1,2025-12-22 19:08:54.341026
47,103,41,view,1,2025-11-29 19:08:54.341028
48,103,52,view,1,2025-11-28 19:08:54.341030
49,103,35,view,1,2025-12-10 19:08:54.341032
50,103,41,save,3,2025-12-16 19:08:54.341037
51,103,5,save,3,2025-11-30 19:08:54.341039
52,103,35,save,3,2025-11-29 19:08:54.341041
53,103,52,save,3,2025-12-08 19:08:54.341043
54,103,5,apply,5,2025-12-24 19:08:54.341048
55,103,41,apply,5,2025-12-21 19:08:54.341068
56,104,72,view,1,2025-12-26 19:08:54.341090
57,104,69,view,1,2025-12-04 19:08:54.341093
58,104,34,view,1,2025-12-27 19:08:54.341095
59,104,55,view,1,2025-12-01 19:08:54.341097
60,104,52,view,1,2025-12-25 19:08:54.341098
61,104,47,view,1,2025-12-24 19:08:54.341100
62,104,29,view,1,2025-12-08 19:08:54.341102
63,104,18,view,1,2025-12-23 19:08:54.341104
64,104,66,view,1,2025-12-03 19:08:54.341106
65,104,64,view,1,2025-12-07 19:08:54.341107
66,104,64,save,3,2025-12-16 19:08:54.341113
67,104,69,save,3,2025-12-09 19:08:54.341115
68,104,29,save,3,2025-12-14 19:08:54.341117
